"Pos","Country","Matches_Played","Wins","Draws","Losses","Goals.For","Goals.Against","Goal.Differential","Points","Year"
1,"China",3,2,1,0,10,3,7,5,1991
2,"Norway",3,2,0,1,6,5,1,4,1991
3,"Denmark",3,1,1,1,6,4,2,3,1991
4,"New Zealand",3,0,0,3,1,11,-10,0,1991
1,"United States",3,3,0,0,11,2,9,6,1991
2,"Sweden",3,2,0,1,12,3,9,4,1991
3,"Brazil",3,1,0,2,1,7,-6,2,1991
4,"Japan",3,0,0,3,0,12,-12,0,1991
1,"Germany",3,3,0,0,9,0,9,6,1991
2,"Italy",3,2,0,1,6,2,4,4,1991
3,"Chinese Taipei",3,1,0,2,2,8,-6,2,1991
4,"Nigeria",3,0,0,3,0,7,-7,0,1991
1,"Germany",3,2,0,1,9,4,5,6,1995
2,"Sweden",3,2,0,1,5,3,2,6,1995
3,"Japan",3,1,0,2,2,4,-2,3,1995
4,"Brazil",3,1,0,2,3,8,-5,3,1995
1,"Norway",3,3,0,0,17,0,17,9,1995
2,"England",3,2,0,1,6,6,0,6,1995
3,"Canada",3,0,1,2,5,13,-8,1,1995
4,"Nigeria",3,0,1,2,5,14,-9,1,1995
1,"United States",3,2,1,0,9,4,5,7,1995
2,"China",3,2,1,0,10,6,4,7,1995
3,"Denmark",3,1,0,2,6,5,1,3,1995
4,"Australia",3,0,0,3,3,13,-10,0,1995
1,"United States",3,3,0,0,13,1,12,9,1999
2,"Nigeria",3,2,0,1,5,8,-3,6,1999
3,"North Korea",3,1,0,2,4,6,-2,3,1999
4,"Denmark",3,0,0,3,1,8,-7,0,1999
1,"Brazil",3,2,1,0,12,4,8,7,1999
2,"Germany",3,1,2,0,10,4,6,5,1999
3,"Italy",3,1,1,1,3,3,0,4,1999
4,"Mexico",3,0,0,3,1,15,-14,0,1999
1,"Norway",3,3,0,0,13,2,11,9,1999
2,"Russia",3,2,0,1,10,3,7,6,1999
3,"Canada",3,0,1,2,3,12,-9,1,1999
4,"Japan",3,0,1,2,1,10,-9,1,1999
1,"China",3,3,0,0,12,2,10,9,1999
2,"Sweden",3,2,0,1,6,3,3,6,1999
3,"Australia",3,0,1,2,3,7,-4,1,1999
4,"Ghana",3,0,1,2,1,10,-9,1,1999
1,"United States",3,3,0,0,11,1,10,9,2003
2,"Sweden",3,2,0,1,5,3,2,6,2003
3,"North Korea",3,1,0,2,3,4,-1,3,2003
4,"Nigeria",3,0,0,3,0,11,-11,0,2003
1,"Brazil",3,2,1,0,8,2,6,7,2003
2,"Norway",3,2,0,1,10,5,5,6,2003
3,"France",3,1,1,1,2,3,-1,4,2003
4,"South Korea",3,0,0,3,1,11,-10,0,2003
1,"Germany",3,3,0,0,13,2,11,9,2003
2,"Canada",3,2,0,1,7,5,2,6,2003
3,"Japan",3,1,0,2,7,6,1,3,2003
4,"Argentina",3,0,0,3,1,15,-14,0,2003
1,"China",3,2,1,0,3,1,2,7,2003
2,"Russia",3,2,0,1,5,2,3,6,2003
3,"Ghana",3,1,0,2,2,5,-3,3,2003
4,"Australia",3,0,1,2,3,5,-2,1,2003
1,"Germany",3,2,1,0,13,0,13,7,2007
2,"England",3,1,2,0,8,3,5,5,2007
3,"Japan",3,1,1,1,3,4,-1,4,2007
4,"Argentina",3,0,0,3,1,18,-17,0,2007
1,"United States",3,2,1,0,5,2,3,7,2007
2,"North Korea",3,1,1,1,5,4,1,4,2007
3,"Sweden",3,1,1,1,3,4,-1,4,2007
4,"Nigeria",3,0,1,2,1,4,-3,1,2007
1,"Norway",3,2,1,0,10,4,6,7,2007
2,"Australia",3,1,2,0,7,4,3,5,2007
3,"Canada",3,1,1,1,7,4,3,4,2007
4,"Ghana",3,0,0,3,3,15,-12,0,2007
1,"Brazil",3,3,0,0,10,0,10,9,2007
2,"China",3,2,0,1,5,6,-1,6,2007
3,"Denmark",3,1,0,2,4,4,0,3,2007
4,"New Zealand",3,0,0,3,0,9,-9,0,2007
1,"Germany",3,3,0,0,7,3,4,9,2011
2,"France",3,2,0,1,7,4,3,6,2011
