"Country","Year","Quarter.finals","Semi.finals"
"Denmark",1991,1,0
"Germany",1991,1,1
"China",1991,1,0
"Sweden",1991,1,1
"Norway",1991,1,1
"Italy",1991,1,0
"United States",1991,1,1
"Chinese Taipei",1991,1,0
"Japan",1995,1,0
"United States",1995,1,1
"Norway",1995,1,1
"Denmark",1995,1,0
"Germany",1995,1,1
"England",1995,1,0
"Sweden",1995,1,0
"China",1995,1,1
"Penalties",1995,1,0
"China",1999,1,1
"Russia",1999,1,0
"Norway",1999,1,1
"Sweden",1999,1,0
"United States",1999,1,1
"Germany",1999,1,0
"Brazil",1999,1,1
"Nigeria",1999,1,0
"Brazil",2003,1,0
"Sweden",2003,1,1
"United States",2003,1,1
"Norway",2003,1,0
"Germany",2003,1,1
"Russia",2003,1,0
"China",2003,1,0
"Canada",2003,1,1
"Germany",2007,1,1
"North Korea",2007,1,0
"United States",2007,1,1
"England",2007,1,0
"Norway",2007,1,1
"China",2007,1,0
"Brazil",2007,1,1
"Australia",2007,1,0
"England",2011,1,0
"France",2011,1,1
"Germany",2011,1,0
"Japan",2011,1,1
"Sweden",2011,1,1
"Australia",2011,1,0
"Brazil",2011,1,0
"United States",2011,1,1
"Germany",2015,1,1
"France",2015,1,0
"China",2015,1,0
"United States",2015,1,1
"Australia",2015,1,0
"Japan",2015,1,1
"England",2015,1,1
"Canada",2015,1,0
"Norway",2019,1,0
"England",2019,1,1
"France",2019,1,0
"United States",2019,1,1
"Italy",2019,1,0
"Netherlands",2019,1,1
"Germany",2019,1,0
"Sweden",2019,1,1
"Spain",2023,1,1
"Netherlands",2023,1,0
"Japan",2023,1,0
"Sweden",2023,1,1
"Australia",2023,1,1
"France",2023,1,0
"England",2023,1,1
"Colombia",2023,1,0
