"Year","Place","Country","Pos","Matches_Played","Wins","Draws","Losses","Goals.For","Goals.Against","Goal.Differential","Points","Quarter.finals","Semi.finals","Success.Index"
1991,1,"United States",1,3,3,0,0,11,2,9,6,1,1,34
1991,2,"Norway",2,3,2,0,1,6,5,1,4,1,1,24
1991,3,"Sweden",2,3,2,0,1,12,3,9,4,1,1,20
1991,4,"Germany",1,3,3,0,0,9,0,9,6,1,1,20
1995,1,"Norway",1,3,3,0,0,17,0,17,9,1,1,37
1995,2,"Germany",1,3,2,0,1,9,4,5,6,1,1,26
1995,3,"United States",1,3,2,1,0,9,4,5,7,1,1,23
1995,4,"China",2,3,2,1,0,10,6,4,7,1,1,21
1999,1,"United States",1,3,3,0,0,13,1,12,9,1,1,37
1999,2,"China",1,3,3,0,0,12,2,10,9,1,1,29
1999,3,"Brazil",1,3,2,1,0,12,4,8,7,1,1,23
1999,4,"Norway",1,3,3,0,0,13,2,11,9,1,1,23
2003,1,"Germany",1,3,3,0,0,13,2,11,9,1,1,37
2003,2,"Sweden",2,3,2,0,1,5,3,2,6,1,1,26
2003,3,"United States",1,3,3,0,0,11,1,10,9,1,1,25
2003,4,"Canada",2,3,2,0,1,7,5,2,6,1,1,20
2007,1,"Germany",1,3,2,1,0,13,0,13,7,1,1,35
2007,2,"Brazil",1,3,3,0,0,10,0,10,9,1,1,29
2007,3,"United States",1,3,2,1,0,5,2,3,7,1,1,23
2007,4,"Norway",1,3,2,1,0,10,4,6,7,1,1,21
2011,1,"Japan",2,3,2,0,1,6,3,3,6,1,1,34
2011,2,"United States",2,3,2,0,1,6,2,4,6,1,1,26
2011,3,"Sweden",1,3,3,0,0,4,1,3,9,1,1,25
2011,4,"France",2,3,2,0,1,7,4,3,6,1,1,20
2015,1,"United States",1,3,2,1,0,4,1,3,7,1,1,35
2015,2,"Japan",1,3,3,0,0,4,1,3,9,1,1,29
2015,3,"England",2,3,2,0,1,4,3,1,6,1,1,22
2015,4,"Germany",1,3,2,1,0,15,1,14,7,1,1,21
2019,1,"United States",1,3,3,0,0,18,0,18,9,1,1,37
2019,2,"Netherlands",1,3,3,0,0,6,2,4,9,1,1,29
2019,3,"Sweden",2,3,2,0,1,7,3,4,6,1,1,22
2019,4,"England",1,3,3,0,0,5,1,4,9,1,1,23
2023,1,"Spain",2,3,2,0,1,8,4,4,6,1,1,34
2023,2,"England",1,3,3,0,0,8,1,7,9,1,1,29
2023,3,"Sweden",1,3,3,0,0,9,1,8,9,1,1,25
2023,4,"Australia",1,3,2,0,1,7,3,4,6,1,1,20
1991,5,"China",1,3,2,1,0,10,3,7,5,1,0,10
1991,5,"Denmark",3,3,1,1,1,6,4,2,3,1,0,8
1991,5,"New Zealand",4,3,0,0,3,1,11,-10,0,0,0,1
1991,5,"Brazil",3,3,1,0,2,1,7,-6,2,0,0,3
1991,5,"Japan",4,3,0,0,3,0,12,-12,0,0,0,1
1991,5,"Italy",2,3,2,0,1,6,2,4,4,1,0,9
1991,5,"Chinese Taipei",3,3,1,0,2,2,8,-6,2,1,0,7
1991,5,"Nigeria",4,3,0,0,3,0,7,-7,0,0,0,1
1995,5,"Sweden",2,3,2,0,1,5,3,2,6,1,0,11
1995,5,"Japan",3,3,1,0,2,2,4,-2,3,1,0,8
1995,5,"Brazil",4,3,1,0,2,3,8,-5,3,0,0,4
1995,5,"England",2,3,2,0,1,6,6,0,6,1,0,11
1995,5,"Canada",3,3,0,1,2,5,13,-8,1,0,0,2
1995,5,"Nigeria",4,3,0,1,2,5,14,-9,1,0,0,2
1995,5,"Denmark",3,3,1,0,2,6,5,1,3,1,0,8
1995,5,"Australia",4,3,0,0,3,3,13,-10,0,0,0,1
1999,5,"Nigeria",2,3,2,0,1,5,8,-3,6,1,0,11
1999,5,"North Korea",3,3,1,0,2,4,6,-2,3,0,0,4
1999,5,"Denmark",4,3,0,0,3,1,8,-7,0,0,0,1
1999,5,"Germany",2,3,1,2,0,10,4,6,5,1,0,10
1999,5,"Italy",3,3,1,1,1,3,3,0,4,0,0,5
1999,5,"Mexico",4,3,0,0,3,1,15,-14,0,0,0,1
1999,5,"Russia",2,3,2,0,1,10,3,7,6,1,0,11
1999,5,"Canada",3,3,0,1,2,3,12,-9,1,0,0,2
1999,5,"Japan",4,3,0,1,2,1,10,-9,1,0,0,2
1999,5,"Sweden",2,3,2,0,1,6,3,3,6,1,0,11
1999,5,"Australia",3,3,0,1,2,3,7,-4,1,0,0,2
1999,5,"Ghana",4,3,0,1,2,1,10,-9,1,0,0,2
2003,5,"North Korea",3,3,1,0,2,3,4,-1,3,0,0,4
2003,5,"Nigeria",4,3,0,0,3,0,11,-11,0,0,0,1
2003,5,"Brazil",1,3,2,1,0,8,2,6,7,1,0,12
2003,5,"Norway",2,3,2,0,1,10,5,5,6,1,0,11
2003,5,"France",3,3,1,1,1,2,3,-1,4,0,0,5
2003,5,"South Korea",4,3,0,0,3,1,11,-10,0,0,0,1
2003,5,"Japan",3,3,1,0,2,7,6,1,3,0,0,4
2003,5,"Argentina",4,3,0,0,3,1,15,-14,0,0,0,1
2003,5,"China",1,3,2,1,0,3,1,2,7,1,0,12
2003,5,"Russia",2,3,2,0,1,5,2,3,6,1,0,11
2003,5,"Ghana",3,3,1,0,2,2,5,-3,3,0,0,4
2003,5,"Australia",4,3,0,1,2,3,5,-2,1,0,0,2
2007,5,"England",2,3,1,2,0,8,3,5,5,1,0,10
2007,5,"Japan",3,3,1,1,1,3,4,-1,4,0,0,5
2007,5,"Argentina",4,3,0,0,3,1,18,-17,0,0,0,1
2007,5,"North Korea",2,3,1,1,1,5,4,1,4,1,0,9
2007,5,"Sweden",3,3,1,1,1,3,4,-1,4,0,0,5
2007,5,"Nigeria",4,3,0,1,2,1,4,-3,1,0,0,2
2007,5,"Australia",2,3,1,2,0,7,4,3,5,1,0,10
2007,5,"Canada",3,3,1,1,1,7,4,3,4,0,0,5
2007,5,"Ghana",4,3,0,0,3,3,15,-12,0,0,0,1
2007,5,"China",2,3,2,0,1,5,6,-1,6,1,0,11
2007,5,"Denmark",3,3,1,0,2,4,4,0,3,0,0,4
2007,5,"New Zealand",4,3,0,0,3,0,9,-9,0,0,0,1
2011,5,"Germany",1,3,3,0,0,7,3,4,9,1,0,14
2011,5,"Nigeria",3,3,1,0,2,1,2,-1,3,0,0,4
2011,5,"Canada",4,3,0,0,3,1,7,-6,0,0,0,1
2011,5,"England",1,3,2,1,0,5,2,3,7,1,0,12
2011,5,"Mexico",3,3,0,2,1,3,7,-4,2,0,0,3
2011,5,"New Zealand",4,3,0,1,2,4,6,-2,1,0,0,2
2011,5,"North Korea",3,3,0,1,2,0,3,-3,1,0,0,2
2011,5,"Colombia",4,3,0,1,2,0,4,-4,1,0,0,2
2011,5,"Brazil",1,3,3,0,0,7,0,7,9,1,0,14
2011,5,"Australia",2,3,2,0,1,5,4,1,6,1,0,11
2011,5,"Norway",3,3,1,0,2,2,5,-3,3,0,0,4
2011,5,"Equatorial Guinea",4,3,0,0,3,2,7,-5,0,0,0,1
2015,5,"Canada",1,3,1,2,0,2,1,1,5,1,0,10
2015,5,"China",2,3,1,1,1,3,3,0,4,1,0,9
2015,5,"Netherlands",3,3,1,1,1,2,2,0,4,0,0,5
2015,5,"New Zealand",4,3,0,2,1,2,3,-1,2,0,0,3
2015,5,"Norway",2,3,2,1,0,8,2,6,7,0,0,8
2015,5,"Thailand",3,3,1,0,2,3,10,-7,3,0,0,4
2015,5,"Ivory Coast",4,3,0,0,3,3,16,-13,0,0,0,1
2015,5,"Cameroon",2,3,2,0,1,9,3,6,6,0,0,7
2015,5,"Switzerland",3,3,1,0,2,11,4,7,3,0,0,4
2015,5,"Ecuador",4,3,0,0,3,1,17,-16,0,0,0,1
2015,5,"Australia",2,3,1,1,1,4,4,0,4,1,0,9
2015,5,"Sweden",3,3,0,3,0,4,4,0,3,0,0,4
2015,5,"Nigeria",4,3,0,1,2,3,6,-3,1,0,0,2
2015,5,"Brazil",1,3,3,0,0,4,0,4,9,0,0,10
2015,5,"South Korea",2,3,1,1,1,4,5,-1,4,0,0,5
2015,5,"Costa Rica",3,3,0,2,1,3,4,-1,2,0,0,3
2015,5,"Spain",4,3,0,1,2,2,4,-2,1,0,0,2
2015,5,"France",1,3,2,0,1,6,2,4,6,1,0,11
2015,5,"Colombia",3,3,1,1,1,4,3,1,4,0,0,5
2015,5,"Mexico",4,3,0,1,2,2,8,-6,1,0,0,2
2019,5,"France",1,3,3,0,0,7,1,6,9,1,0,14
2019,5,"Norway",2,3,2,0,1,6,3,3,6,1,0,11
2019,5,"Nigeria",3,3,1,0,2,2,4,-2,3,0,0,4
2019,5,"South Korea",4,3,0,0,3,1,8,-7,0,0,0,1
2019,5,"Germany",1,3,3,0,0,6,0,6,9,1,0,14
2019,5,"Spain",2,3,1,1,1,3,2,1,4,0,0,5
2019,5,"China",3,3,1,1,1,1,1,0,4,0,0,5
2019,5,"South Africa",4,3,0,0,3,1,8,-7,0,0,0,1
2019,5,"Italy",1,3,2,0,1,7,2,5,6,1,0,11
2019,5,"Australia",2,3,2,0,1,8,5,3,6,0,0,7
2019,5,"Brazil",3,3,2,0,1,6,3,3,6,0,0,7
2019,5,"Jamaica",4,3,0,0,3,1,12,-11,0,0,0,1
2019,5,"Japan",2,3,1,1,1,2,3,-1,4,0,0,5
2019,5,"Argentina",3,3,0,2,1,3,4,-1,2,0,0,3
2019,5,"Scotland",4,3,0,1,2,5,7,-2,1,0,0,2
2019,5,"Canada",2,3,2,0,1,4,2,2,6,0,0,7
2019,5,"Cameroon",3,3,1,0,2,3,5,-2,3,0,0,4
2019,5,"New Zealand",4,3,0,0,3,1,5,-4,0,0,0,1
2019,5,"Chile",3,3,1,0,2,2,5,-3,3,0,0,4
2019,5,"Thailand",4,3,0,0,3,1,20,-19,0,0,0,1
2023,5,"Switzerland",1,3,1,2,0,2,0,2,5,0,0,6
2023,5,"Norway",2,3,1,1,1,6,1,5,4,0,0,5
2023,5,"New Zealand",3,3,1,1,1,1,1,0,4,0,0,5
2023,5,"Philippines",4,3,1,0,2,1,8,-7,3,0,0,4
2023,5,"Nigeria",2,3,1,2,0,3,2,1,5,0,0,6
2023,5,"Canada",3,3,1,1,1,2,5,-3,4,0,0,5
2023,5,"Ireland",4,3,0,1,2,1,3,-2,1,0,0,2
2023,5,"Japan",1,3,3,0,0,11,0,11,9,1,0,14
2023,5,"Zambia",3,3,1,0,2,3,11,-8,3,0,0,4
2023,5,"Costa Rica",4,3,0,0,3,1,8,-7,0,0,0,1
2023,5,"Denmark",2,3,2,0,1,3,1,2,6,0,0,7
2023,5,"China",3,3,1,0,2,2,7,-5,3,0,0,4
2023,5,"Haiti",4,3,0,0,3,0,4,-4,0,0,0,1
2023,5,"Netherlands",1,3,2,1,0,9,1,8,7,1,0,12
2023,5,"United States",2,3,1,2,0,4,1,3,5,0,0,6
2023,5,"Portugal",3,3,1,1,1,2,1,1,4,0,0,5
2023,5,"Vietnam",4,3,0,0,3,0,12,-12,0,0,0,1
2023,5,"France",1,3,2,1,0,8,4,4,7,1,0,12
2023,5,"Jamaica",2,3,1,2,0,1,0,1,5,0,0,6
2023,5,"Brazil",3,3,1,1,1,5,2,3,4,0,0,5
2023,5,"Panama",4,3,0,0,3,3,11,-8,0,0,0,1
2023,5,"South Africa",2,3,1,1,1,6,6,0,4,0,0,5
2023,5,"Italy",3,3,1,0,2,3,8,-5,3,0,0,4
2023,5,"Argentina",4,3,0,1,2,2,5,-3,1,0,0,2
