"Name","Country","Club","Year"
"Zhong Honglian","China","Dalian",1991
"Chen Xia","China","Guangdong",1991
"Ma Li","China","Beijing",1991
"Li Xiufu","China","Prima Ham FC",1991
"Zhou Yang","China","Dalian",1991
"Shui Qingxia","China","Shanghai",1991
"Wu Weiying","China","Guangdong",1991
"Zhou Hua","China","Dalian",1991
"Sun Wen","China","Shanghai",1991
"Liu Ailing","China","Beijing",1991
"Sun Qingmei","China","Hebei",1991
"Wen Lirong","China","Beijing",1991
"Niu Lijie","China","Changchun",1991
"Zhang Yan","China","Dalian",1991
"Wei Haiying","China","Guangdong",1991
"Zhang Hongdong","China","Beijing",1991
"Zhu Tao","China","Beijing",1991
"Li Sa","China","Beijing",1991
"Helle Bjerregaard","Denmark","Rødovre BK",1991
"Karina Sefron","Denmark","Malmö FF",1991
"Jannie Hansen","Denmark","Rødovre BK",1991
"Bonny Madsen","Denmark","Malmö FF",1991
"Helle Rotbøll","Denmark","HEI Aarhus",1991
"Mette Nielsen","Denmark","Vorup FB",1991
"Susan Mackensie","Denmark","HEI Aarhus",1991
"Lisbet Kolding","Denmark","HEI Aarhus",1991
"Annie Gam-Pedersen","Denmark","Odense BK",1991
"Helle Jensen","Denmark","B 1909",1991
"Hanne Nissen","Denmark","Odense BK",1991
"Irene Stelling","Denmark","HEI Aarhus",1991
"Annette Thychosen","Denmark","Odense BK",1991
"Marianne Jensen","Denmark","HEI Aarhus",1991
"Rikke Holm","Denmark","B 1909",1991
"Gitte Hansen","Denmark","B 1909",1991
"Lotte Bagge","Denmark","B 1909",1991
"Janne Rasmussen","Denmark","B 1909",1991
"Leslie King","New Zealand","West Auckland",1991
"Jocelyn Parr","New Zealand","South Auckland",1991
"Cinnamon Chaney","New Zealand","Miramar",1991
"Lynley Pedruco","New Zealand","Eden AFC",1991
"Deborah Pullen","New Zealand","Glenfield Rovers",1991
"Lorraine Taylor","New Zealand","Nomads United",1991
"Maureen Jacobson","New Zealand","Miramar",1991
"Monique van de Elzen","New Zealand","Eden AFC",1991
"Wendi Henderson","New Zealand","Miramar",1991
"Donna Baker","New Zealand","South Auckland",1991
"Amanda Crawford","New Zealand","West Auckland",1991
"Julia Campbell","New Zealand","Nomads United",1991
"Kim Nye","New Zealand","Waterside Karori",1991
"Maria George","New Zealand","Miramar",1991
"Terry McCahill","New Zealand","Eden AFC",1991
"Vivienne Robertson","New Zealand","Glenfield Rovers",1991
"Lynne Warring","New Zealand","Miramar",1991
"Anne Smith","New Zealand","Waikato United",1991
"Reidun Seth","Norway","GAIS",1991
"Cathrine Zaborowski","Norway","Asker",1991
"Trine Stenberg","Norway","Sandviken",1991
"Gro Espeseth","Norway","Sandviken",1991
"Gunn Nyborg","Norway","Asker",1991
"Agnete Carlsen","Norway","SK Sprint/Jeløy",1991
"Tone Haugen","Norway","Trondheims-Ørn",1991
"Heidi Støre","Norway","SK Sprint/Jeløy",1991
"Hege Riise","Norway","Setskog FK",1991
"Linda Medalen","Norway","Asker",1991
"Birthe Hegstad","Norway","Klepp",1991
"Bente Nordby","Norway","Raufoss",1991
"Liv Strædet","Norway","SK Sprint/Jeløy",1991
"Margunn Humlestøl","Norway","Asker",1991
"Anette Igland","Norway","Kaupanger",1991
"Tina Svensson","Norway","Asker",1991
"Ellen Scheel","Norway","Jardar",1991
"Hilde Strømsvold","Norway","Bøler",1991
"Meg","Brazil","Radar",1991
"Rosa Lima","Brazil","Vasco da Gama",1991
