"Name","Country","Club","Year","Queer"
"Zhong Honglian","China","Dalian",1991,0
"Chen Xia","China","Guangdong",1991,0
"Ma Li","China","Beijing",1991,0
"Li Xiufu","China","Prima Ham FC",1991,0
"Zhou Yang","China","Dalian",1991,0
"Shui Qingxia","China","Shanghai",1991,0
"Wu Weiying","China","Guangdong",1991,0
"Zhou Hua","China","Dalian",1991,0
"Sun Wen","China","Shanghai",1991,0
"Liu Ailing","China","Beijing",1991,0
"Sun Qingmei","China","Hebei",1991,0
"Wen Lirong","China","Beijing",1991,0
"Niu Lijie","China","Changchun",1991,0
"Zhang Yan","China","Dalian",1991,0
"Wei Haiying","China","Guangdong",1991,0
"Zhang Hongdong","China","Beijing",1991,0
"Zhu Tao","China","Beijing",1991,0
"Li Sa","China","Beijing",1991,0
"Helle Bjerregaard","Denmark","Rødovre BK",1991,0
"Karina Sefron","Denmark","Malmö FF",1991,0
"Jannie Hansen","Denmark","Rødovre BK",1991,0
"Bonny Madsen","Denmark","Malmö FF",1991,0
"Helle Rotbøll","Denmark","HEI Aarhus",1991,0
"Mette Nielsen","Denmark","Vorup FB",1991,0
"Susan Mackensie","Denmark","HEI Aarhus",1991,0
"Lisbet Kolding","Denmark","HEI Aarhus",1991,0
"Annie Gam-Pedersen","Denmark","Odense BK",1991,0
"Helle Jensen","Denmark","B 1909",1991,0
"Hanne Nissen","Denmark","Odense BK",1991,0
"Irene Stelling","Denmark","HEI Aarhus",1991,0
"Annette Thychosen","Denmark","Odense BK",1991,0
"Marianne Jensen","Denmark","HEI Aarhus",1991,0
"Rikke Holm","Denmark","B 1909",1991,0
"Gitte Hansen","Denmark","B 1909",1991,0
"Lotte Bagge","Denmark","B 1909",1991,0
"Janne Rasmussen","Denmark","B 1909",1991,0
"Leslie King","New Zealand","West Auckland",1991,0
"Jocelyn Parr","New Zealand","South Auckland",1991,0
"Cinnamon Chaney","New Zealand","Miramar",1991,0
"Lynley Pedruco","New Zealand","Eden AFC",1991,0
"Deborah Pullen","New Zealand","Glenfield Rovers",1991,0
"Lorraine Taylor","New Zealand","Nomads United",1991,0
"Maureen Jacobson","New Zealand","Miramar",1991,0
"Monique van de Elzen","New Zealand","Eden AFC",1991,0
"Wendi Henderson","New Zealand","Miramar",1991,0
"Donna Baker","New Zealand","South Auckland",1991,0
"Amanda Crawford","New Zealand","West Auckland",1991,0
"Julia Campbell","New Zealand","Nomads United",1991,0
"Kim Nye","New Zealand","Waterside Karori",1991,0
"Maria George","New Zealand","Miramar",1991,0
"Terry McCahill","New Zealand","Eden AFC",1991,0
"Vivienne Robertson","New Zealand","Glenfield Rovers",1991,0
"Lynne Warring","New Zealand","Miramar",1991,0
"Anne Smith","New Zealand","Waikato United",1991,0
"Reidun Seth","Norway","GAIS",1991,1
"Cathrine Zaborowski","Norway","Asker",1991,0
"Trine Stenberg","Norway","Sandviken",1991,0
"Gro Espeseth","Norway","Sandviken",1991,0
"Gunn Nyborg","Norway","Asker",1991,0
"Agnete Carlsen","Norway","SK Sprint/Jeløy",1991,1
"Tone Haugen","Norway","Trondheims-Ørn",1991,1
"Heidi Støre","Norway","SK Sprint/Jeløy",1991,1
"Hege Riise","Norway","Setskog FK",1991,1
"Linda Medalen","Norway","Asker",1991,1
"Birthe Hegstad","Norway","Klepp",1991,0
"Bente Nordby","Norway","Raufoss",1991,1
"Liv Strædet","Norway","SK Sprint/Jeløy",1991,0
"Margunn Humlestøl","Norway","Asker",1991,0
"Anette Igland","Norway","Kaupanger",1991,0
"Tina Svensson","Norway","Asker",1991,0
"Ellen Scheel","Norway","Jardar",1991,0
"Hilde Strømsvold","Norway","Bøler",1991,0
"Meg","Brazil","Radar",1991,0
"Rosa Lima","Brazil","Vasco da Gama",1991,0
"Marisa","Brazil","Radar",1991,0
"Elane","Brazil","Radar",1991,0
"Marcinha","Brazil","Radar",1991,0
"Fanta","Brazil","Radar",1991,0
"Pelézinha","Brazil","Radar",1991,0
"Solange","Brazil","Radar",1991,0
"Adriana","Brazil","Radar",1991,1
"Roseli","Brazil","Radar",1991,0
"Cenira","Brazil","Radar",1991,0
"Miriam","Brazil","Radar",1991,0
"Márcia Taffarel","Brazil","Radar",1991,0
"Nalvinha","Brazil","Radar",1991,0
"Pretinha","Brazil","L.D.N.I.",1991,0
"Doralice","Brazil","Radar",1991,0
"Danda","Brazil","Radar",1991,0
"Fia","Brazil","Radar",1991,0
"Masae Suzuki","Japan","Nikko Shofen",1991,0
"Midori Honda","Japan","Yomiuri Belleza",1991,0
"Yumi Watanabe","Japan","Fujita Tendai",1991,0
"Mayumi Kaji","Japan","Tazaki Kobe",1991,0
"Sayuri Yamaguchi","Japan","Suzuyo Shimizu F.C. Lovely Ladies",1991,0
"Yoko Takahagi","Japan","Tokyo Gakugei",1991,0
"Yumi Obe","Japan","Nikko Shofen",1991,0
"Michiko Matsuda","Japan","Prima Ham",1991,0
"Akemi Noda","Japan","Yomiuri Belleza",1991,0
"Asako Takakura","Japan","Yomiuri Belleza",1991,0
"Futaba Kioka","Japan","Suzuyo Shimizu F.C. Lovely Ladies",1991,0
"Megumi Sakata","Japan","Nissan Ladies",1991,0
"Kyoko Kuroda","Japan","Prima Ham",1991,0
"Etsuko Handa","Japan","Suzuyo Shimizu F.C. Lovely Ladies",1991,0
"Kaori Nagamine","Japan","Reggiana",1991,0
"Takako Tezuka","Japan","Yomiuri Belleza",1991,0
"Yuriko Mizuma","Japan","Urawa Motobuto",1991,0
"Tamaki Uchiyama","Japan","Tazaki Kobe",1991,0
"Elisabeth Leidinge","Sweden","Jitex BK",1991,0
"Malin Lundgren","Sweden","Malmö FF",1991,0
"Anette Hansson","Sweden","Jitex BK",1991,0
"Camilla Fors","Sweden","Jitex BK",1991,0
