"Name","Queer"
"Lorena Benítez",1
"Mackenzie Arnold",1
"Ellie Carpenter",1
"Alex Chidiac",1
"Brianna Davey",1
"Caitlin Foord",1
"Katrina Gorry",1
"Michelle Heyman",1
"Sam Kerr",1
"Chloe Logarzo",1
"Cortnee Vine",1
"Sarah Walsh",1
"Tameka Yallop",1
"Manuela Zinsberger",1
"Ella Van Kerkhoven",1
"Diede Lemey",1
"Adriana",1
"Andressa Alves",1
"Bárbara",1
"Brena",1
"Debinha",1
"Francielle",1
"Marta",1
"Kadeisha Buchanan",1
"Stephanie Labbé",1
"Erin McLeod",1
"Quinn",1
"Fernanda Pinilla",1
"Linda Caicedo",1
"Leicy Santos",1
"Pernille Harder",1
"Dorte Dalum Jensen",1
"Anita Asante",1
"Lucy Bronze",1
"Jessica Carter",1
"Rachel Daly",1
"Bethany England",1
"Millie Turner",1
"Melanie Garside-Wight",1
"Lauren Hemp",1
"Fran Kirby",1
"Beth Mead",1
"Jordan Nobbs",1
"Lianne Sanderson",1
"Alex Scott",1
"Jill Scott",1
"Kelly Smith",1
"Demi Stokes",1
"Casey Stoney",1
"Jodie Taylor",1
"Keira Walsh",1
"Leah Williamson",1
"Pauline Peyraud-Magnin",1
"Marinette Pichon",1
"Elisa de Almeida",1
"Nadine Angerer",1
"Ann-Katrin Berger",1
"Linda Bresonik",1
"Sara Doorsoun",1
"Inka Grings",1
"Ursula Holl",1
"Svenja Huth",1
"Steffi Jones",1
"Isabel Kerschowski",1
"Katja Kraus",1
"Kim Kulig",1
"Lena Oberdorf",1
"Lea Schüller",1
"Edda Garðarsdóttir",1
"Ólína Guðbjörg Viðarsdóttir",1
"Sandra Sigurðardóttir",1
"Isibeal Atkinson",1
"Ruesha Littlejohn",1
"Katie McCabe",1
"Lucy Quinn",1
"Lisa Boattin",1
"Aurora Galli",1
"Manuela Giugliano",1
"Elena Linari",1
"Carolina Morace",1
"Kumi Yokoyama",1
"Janelly Farías",1
"Bianca Henninger",1
"Stephany Mayor",1
"Bianca Sierra",1
"Kerstin Casparij",1
"Anouk Dekker",1
"Nathalie Geeris",1
"Vivianne Miedema",1
"Sherida Spitse",1
"Daniëlle van de Donk",1
"Stefanie van der Gragt",1
"Merel van Dongen",1
"Katie Duncan",1
"Priscilla Duncan",1
"Abby Erceg",1
"Michaela Foster",1
"Emma Kete",1
"Ria Percival",1
"Hannah Wilkinson",1
"Kirsty Yallop",1
"Marissa Callaghan",1
"Rebecca Holloway",1
"Isabell Herlovsen",1
"Frida Maanum",1
"Linda Medalen",1
"Bente Nordby",1
"Guro Reiten",1
"Anja Sønstevold",1
"Ingrid Syrstad Engen",1
"Tahnai Annis",1
"Reina Bonta",1
"Nadezhda Karpova",1
"Lisa Evans",1
"Shannon Lynn",1
"Eudy Simelane",1
"Teresa Abelleira",1
"Ivana Andrés",1
"Ona Batlle",1
"Lola Gallardo",1
"Esther González",1
"Mapi León",1
"Alba Redondo",1
"Ana Romero",1
