,Name,Country
"Nadine Angerer, Germany",Nadine Angerer,Germany
,#VALUE!,
"Ramona Bachmann, Switzerland",Ramona Bachmann,Switzerland
,#VALUE!,
"Lisa Dahlkvist, Sweden",Lisa Dahlkvist,Sweden
,#VALUE!,
"Katie Duncan, New Zealand",Katie Duncan,New Zealand
,#VALUE!,
"Jillian Ellis, United States (coach)",Jillian Ellis,United States (coach)
,#VALUE!,
"Nilla Fischer, Sweden",Nilla Fischer,Sweden
,#VALUE!,
"Isabell Herlovsen, Norway",Isabell Herlovsen,Norway
,#VALUE!,
"Michelle Heyman, Australia",Michelle Heyman,Australia
,#VALUE!,
"Hedvig Lindahl, Sweden",Hedvig Lindahl,Sweden
,#VALUE!,
"Erin McLeod, Canada",Erin McLeod,Canada
,#VALUE!,
"Megan Rapinoe, United States",Megan Rapinoe,United States
,#VALUE!,
"Trine Ronning, Norway",Trine Ronning,Norway
,#VALUE!,
"Lianne Sanderson, England",Lianne Sanderson,England
,#VALUE!,
"Caroline Seger, Sweden",Caroline Seger,Sweden
,#VALUE!,
"Casey Stoney, England",Casey Stoney,England
,#VALUE!,
"Pia Sundhage, Sweden (coach)",Pia Sundhage,Sweden (coach)
,#VALUE!,
"Abby Wambach, United States",Abby Wambach,United States
