,Name,Country
"Barbara Barbosa, Brazil",Barbara Barbosa,Brazil
,#VALUE!,
"Lorena Benítez, Argentina","Lorena Benítez, Argentina",
,#VALUE!,
"Kadeisha Buchanan, Canada",Kadeisha Buchanan,Canada
,#VALUE!,
"Rachel Daly, England",Rachel Daly,England
,#VALUE!,
"Tierna Davidson, USA",Tierna Davidson,USA
,#VALUE!,
"Anouk Dekker, Netherlands",Anouk Dekker,Netherlands
,#VALUE!,
"Katie Duncan, New Zealand","Katie Duncan, New Zealand",
,#VALUE!,
"Abby Erceg, New Zealand",Abby Erceg,New Zealand
,#VALUE!,
"Magdalena Eriksson, Sweden","Magdalena Eriksson, Sweden",
,#VALUE!,
"Lisa Evans, Scotland",Lisa Evans,Scotland
,#VALUE!,
"Nilla Fischer, Sweden",Nilla Fischer,Sweden
,#VALUE!,
"Adrianna Franch, USA",Adrianna Franch,USA
,#VALUE!,
"Ashlyn Harris, USA",Ashlyn Harris,USA
,#VALUE!,
"Isabell Herlovsen, Norway","Isabell Herlovsen, Norway",
,#VALUE!,
"Emma Kete, New Zealand",Emma Kete,New Zealand
,#VALUE!,
"Sam Kerr, Australia",Sam Kerr,Australia
,#VALUE!,
"Ali Krieger, USA",Ali Krieger,USA
,#VALUE!,
"Stephanie Labbé, Canada",Stephanie Labbé,Canada
,#VALUE!,
"Hedvig Lindahl, Sweden",Hedvig Lindahl,Sweden
,#VALUE!,
"María Pilar León, Spain","María Pilar León, Spain",
,#VALUE!,
"Chloe Logarzo, Australia",Chloe Logarzo,Australia
,#VALUE!,
"Beth Mead, England",Beth Mead,England
,#VALUE!,
"Tegan Micah, Australia",Tegan Micah,Australia
,#VALUE!,
"Vivianne Miedema, Netherlands",Vivianne Miedema,Netherlands
,#VALUE!,
"Fernanda Pinilla, Chile","Fernanda Pinilla, Chile",
,#VALUE!,
"Quinn, Canada",Quinn,Canada
,#VALUE!,
"Megan Rapinoe, USA",Megan Rapinoe,USA
,#VALUE!,
"Cristiane Rozeira, Brazil",Cristiane Rozeira,Brazil
,#VALUE!,
"Caroline Seger, Sweden",Caroline Seger,Sweden
,#VALUE!,
"Kailen Sheridan, Canada",Kailen Sheridan,Canada
,#VALUE!,
"Sherida Spitse, Netherlands",Sherida Spitse,Netherlands
,#VALUE!,
"Jodie Taylor, England",Jodie Taylor,England
,#VALUE!,
"Merel van Dongen, Netherlands",Merel van Dongen,Netherlands
,#VALUE!,
"Daniëlle van de Donk, Netherlands",Daniëlle van de Donk,Netherlands
,#VALUE!,
"Marta Vieira da Silva, Brazil",Marta Vieira da Silva,Brazil
,#VALUE!,
"Hannah Wilkinson, New Zealand",Hannah Wilkinson,New Zealand
,#VALUE!,
"Janine Van Wyk, South Africa",Janine Van Wyk,South Africa
,#VALUE!,
"Tameka Yallop, Australia",Tameka Yallop,Australia
