Name,Country,Club
Player,New Zealand,Club
Erin Nayler,New Zealand,IFK Norrköping
Ria Percival (vice-captain),New Zealand,Tottenham Hotspur
Claudia Bunge,New Zealand,Melbourne Victory
CJ Bott,New Zealand,Leicester City
Michaela Foster,New Zealand,Wellington Phoenix
Malia Steinmetz,New Zealand,Western Sydney Wanderers
Ali Riley (captain),New Zealand,Angel City
Daisy Cleverley,New Zealand,HB Køge
Gabi Rennie,New Zealand,Arizona State Sun Devils
Annalie Longo,New Zealand,Christchurch United
Olivia Chance,New Zealand,Celtic
Betsy Hassett,New Zealand,Wellington Phoenix
Rebekah Stott,New Zealand,Brighton & Hove Albion
Katie Bowen,New Zealand,Melbourne City
Paige Satchell,New Zealand,Wellington Phoenix
Jacqui Hand,New Zealand,Åland United
Hannah Wilkinson,New Zealand,Melbourne City
Grace Jale,New Zealand,Canberra United
Elizabeth Anton,New Zealand,Perth Glory
Indiah-Paige Riley,New Zealand,Brisbane Roar
Victoria Esson,New Zealand,Rangers
Milly Clegg,New Zealand,Wellington Phoenix
Anna Leat,New Zealand,Aston Villa
Player,Norway,Club
Cecilie Fiskerstrand,Norway,Lillestrøm
Anja Sønstevold,Norway,Inter Milan
Sara Hørte,Norway,Rosenborg
Tuva Hansen,Norway,Bayern Munich
Guro Bergsvand,Norway,Brighton & Hove Albion
Maren Mjelde (captain),Norway,Chelsea
Ingrid Syrstad Engen,Norway,Barcelona
Vilde Bøe Risa,Norway,Manchester United
Karina Sævik,Norway,Vålerenga
Caroline Graham Hansen,Norway,Barcelona
Guro Reiten,Norway,Chelsea
Guro Pettersen,Norway,Vålerenga
Thea Bjelde,Norway,Vålerenga
Ada Hegerberg,Norway,Lyon
Amalie Eikeland,Norway,Reading
Mathilde Harviken,Norway,Rosenborg
Julie Blakstad,Norway,BK Häcken
Frida Maanum,Norway,Arsenal
Marit Bratberg Lund,Norway,Brann
Emilie Haavi,Norway,Roma
Anna Jøsendal,Norway,Rosenborg
Sophie Román Haug,Norway,Roma
Aurora Mikalsen,Norway,Brann
Player,Philippines,Club
