Ed.,Year,Hosts,,Final,,,,Third-place playoff,,,,No. of
,,,,Champions,Score,Runners-up,,Third place,Score,Fourth place,,teams
1,1991, China,,Picture,2–1,Picture,,Picture,4–0,Picture,,12
,,,,United States,,Norway,,Sweden,,Germany,,
2,1995, Sweden,,Picture,2–0,Picture,,Picture,2–0,Picture,,12
,,,,Norway,,Germany,,United States,,China,,
3,1999, United States,,Picture,0–0 (a.e.t.),Picture,,Picture,0–0[n 1],Picture,,16
,,,,United States,(5–4 p),China,,Brazil,(5–4 p),Norway,,
4,2003, United States[n 2],,Picture,2–1 (a.e.t.),Picture,,Picture,3–1,Picture,,16
,,,,Germany,,Sweden,,United States,,Canada,,
5,2007, China,,Picture,2–0,Picture,,Picture,4–1,Picture,,16
,,,,Germany,,Brazil,,United States,,Norway,,
6,2011, Germany,,Picture,2–2 (a.e.t.),Picture,,Picture,2–1,Picture,,16
,,,,Japan,(3–1 p),United States,,Sweden,,France,,
7,2015, Canada,,Picture,5–2,Picture,,Picture,1–0 (a.e.t.),Picture,,24
,,,,United States,,Japan,,England,,Germany,,
8,2019, France,,Picture,2–0,Picture,,Picture,2–1,Picture,,24
,,,,United States,,Netherlands,,Sweden,,England,,
9,2023, Australia,,Picture,1–0,Picture,,Picture,2–0,Picture,,32
,, New Zealand,,Spain,,England,,Sweden,,Australia,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
