Name,Country
,
Michaela Foster,New Zealand
Annalie Longo,New Zealand
Ria Percival,New Zealand
Hannah Wilkinson,New Zealand
Frida Maanum,Norway
Maren Mjelde,Norway
Guro Reiten,Norway
Anja Sønstevold,Norway
Ingrid Syrstad Engen,Norway
Tahnai Annis,Philippines
Ramona Bachmann,Switzerland
Head Coach Inka Grings,Switzerland
Alisha Lehmann,Switzerland
Noelle Maritz,Switzerland
Lia Wälti,Switzerland
Mackenzie Arnold,Australia
Ellie Carpenter,Australia
Alex Chidiac,Australia
Caitlin Foord,Australia
Katrina Gorry,Australia
Alanna Kennedy,Australia
Sam Kerr,Australia
Teagan Micah,Australia
Hayley Raso,Australia
Kyah Simon,Australia
Emily van Egmond,Australia
Cortnee Vine,Australia
Tameka Yallop,Australia
Isibeal Atkinson,Republic of Ireland
Diane Caldwell,Republic of Ireland
Megan Connolly,Republic of Ireland
Sinead Farrelly,Republic of Ireland
Ruesha Littlejohn,Republic of Ireland
Katie McCabe,Republic of Ireland
Grace Moloney,Republic of Ireland
Áine O’Gorman,Republic of Ireland
Louise Quinn,Republic of Ireland
Lucy Quinn,Republic of Ireland
Kadeisha Buchanan,Canada
Head Coach Bev Priestman,Canada
Quinn,Canada
Kailen Sheridan,Canada
Shelina Zadorsky,Canada
Teresa Abelleira,Spain
Ivana Andrés,Spain
Irene Paredes,Spain
Alba Redondo,Spain
María Paula Elizondo,Costa Rica
Gabriela Guillén,Costa Rica
Lucy Bronze,England
Jess Carter,England
Rachel Daly,England
Bethany England,England
Lauren Hemp,England
Jordan Nobbs,England
Pernille Harder,Denmark
Janni Thomsen,Denmark
Group E,Denmark
Kristie Mewis,United States
Kelley O’Hara,United States
Megan Rapinoe,United States
Kerstin Casparij,Netherlands
Daniëlle van de Donk,Netherlands
Stefanie van der Gragt,Netherlands
Merel van Dongen,Netherlands
Sherida Spitse,Netherlands
Jacintha Weimar,Netherlands
Lynn Wilms,Netherlands
Dolores Silva,Portugal
Group F,Portugal
Pauline Peyraud-Magnin,France
Constance Picaud,France
Adriana,Brazil
Andressa,Brazil
Bárbara,Brazil
Debinha,Brazil
Kathellen,Brazil
Lauren,Brazil
Letícia Izidoro,Brazil
Marta,Brazil
Head Coach Pia Sundhage,Brazil
Tamires,Brazil
Becky Spencer,Jamaica
Group G,Jamaica
Filippa Angeldahl,Sweden
Hanna Bennison,Sweden
Nathalie Björn,Sweden
Magdalena Eriksson,Sweden
Jennifer Falk,Sweden
Lina Hurtig,Sweden
Caroline Seger,Sweden
Linda Sembrant,Sweden
Thembi Kgatlana,South Africa
Kaylin Swart,South Africa
Lisa Boattin,Italy
Manuela Giugliano,Italy
Elena Linari,Italy
Lorena Benítez,Argentina
Vanina Correa,Argentina
Julieta Cruz,Argentina
Yamila Rodríguez,Argentina
Vanesa Santana,Argentina
Group H,Argentina
Ann-Katrin Berger,Germany
Sara Doorsoun,Germany
Svenja Huth,Germany
Lena Oberdorf,Germany
Felicitas Rauch,Germany
Lea Schüller,Germany
Head Coach Martina Voss-Tecklenburg,Germany
Rosella Ayane,Morocco
Linda Caicedo,Colombia
Daniela Montoya,Colombia
Leicy Santos,Colombia
,Colombia
